users,thread,thread_internal,thread_external,contribution,contribution_internal,contribution_external,GiverInd
JoonKi0111,3,1,3,0,0,0,#DIV/0!
SKT-r,1,0,0,0,0,0,#DIV/0!
prabanjanGITHUB,4,2,2,2,0,2,1
yuasabe,10,1,5,10,0,10,0.747221736
Tanishq30052002,2,0,2,6,1,5,0.356207187
JulioPlaced,1,0,0,0,0,0,#DIV/0!
yaukaizhi,4,0,3,2,0,2,1
zeidk,1,0,1,2,0,2,0.369070246
lishizhen1412,1,1,1,1,0,1,0.584962501
museas-azm,1,1,1,1,0,1,0.584962501
sarubito,1,0,1,1,0,1,0.584962501
inwoong32,2,1,2,2,1,1,0.630929754
egkim-kitech,1,0,0,0,0,0,#DIV/0!
DaikiNiimi,1,0,1,1,0,1,0.584962501
yoneyoneclub,1,0,1,0,0,0,#DIV/0!
J-xinyu,6,1,4,9,1,8,0.602059991
pojenwang,9,0,2,0,0,0,#DIV/0!
felixf4xu,9,1,6,7,2,5,0.81981054
polurik,1,0,1,1,0,1,0.584962501
tomaszkapron,1,0,1,1,0,1,0.584962501
oguzkaganozt,12,0,1,3,1,2,1.403677461
davidc0619,2,0,2,1,0,1,1
mosss-code,1,1,1,1,0,1,0.584962501
fiwz789,2,0,1,1,0,1,1
liangzhiqiang-lzq,1,0,0,0,0,0,#DIV/0!
ataparlar,1,0,0,1,0,1,0.584962501
AhmadAmine998,1,0,1,0,0,0,#DIV/0!
MlLearnerAkash,1,0,0,0,0,0,#DIV/0!
hoppss,1,1,1,1,1,0,0.584962501
radolin,2,0,1,0,0,0,#DIV/0!
lixianqiang,2,0,1,1,0,1,1
AElkenawy,1,0,1,1,0,1,0.584962501
xoofee,1,1,1,1,0,1,0.584962501
Kaipa-Charan,2,0,2,3,0,3,0.5
pflee2002,1,0,1,0,0,0,#DIV/0!
dilloncsr,1,0,1,2,0,2,0.369070246
hdossaji94,2,1,2,2,0,2,0.630929754
plainspoken-chris,1,0,1,1,0,1,0.584962501
yama42326,1,0,1,1,0,1,0.584962501
pandyah,1,0,1,0,0,0,#DIV/0!
hzkkk1997,6,0,4,7,1,6,0.666666667
hakanaktass,3,0,2,2,0,2,0.834043767
zzx568730371,1,0,1,0,0,0,#DIV/0!
Rumika685,1,0,0,0,0,0,#DIV/0!
MechanoPixel,1,1,1,1,0,1,0.584962501
okataka123,3,0,2,3,1,2,0.660964047
phoenixGG,1,0,0,0,0,0,#DIV/0!
yuntianyi-chen,2,1,2,4,1,3,0.430676558
